Census2002, HasNew, SOC2000, SCTSEI, SCMSEI, NTPrestige, NTTSEI, HWTOccEd, HWTOccInc, HWTSEI, HWMOccED, HWMOccInc, HWMSEI, HWFOccEd, HWFOccInc, HWFSEI 
7410, Yes, 49-9051, 31.12, 31.78, 47.13, 45.59, 41.67, 62.85, 39.99, 40.83, 63.81, 41.80, 43.10, 40.20, 37.43 
7420, Yes, 49-9052, 28.65, 27.47, 40.14, 45.30, 48.66, 57.27, 40.64, 48.63, 58.22, 41.42, 53.45, 46.06, 41.52 
7430, Yes, 49-9060, 28.93, 28.17, 39.01, 44.54, 51.53, 29.29, 35.56, 51.97, 31.04, 33.03, 45.66, 16.85, 31.98 
7510, Yes, 49-9091, 24.87, 23.56, 25.22, 38.53, 40.37, 18.61, 29.11, 42.31, 20.69, 26.71, 33.29, 9.46, 25.12 
7520, Yes, 49-9092, 45.38, 43.82, 60.07, 56.09, 70.51, 25.67, 41.13, 70.51, 28.36, 36.48, 69.70, 15.30, 40.17 
7540, Yes, 49-9094, 24.75, 24.36, 38.98, 38.94, 39.84, 25.60, 31.09, 40.78, 25.69, 28.68, 32.10, 22.34, 29.50 
7550, No , 49-9095, 22.18, 21.70, 32.43, 35.40, 35.99, 24.62, 29.41, 36.72, 26.94, 28.23, 30.46, 12.08, 25.22 
7560, No , 49-9096, 22.93, 22.17, 36.50, 35.38, 33.42, 29.64, 29.54, 33.55, 31.02, 28.66, 33.67, 18.17, 28.07 
7600, Yes, 49-9097, 26.93, 27.34, 44.79, 41.83, 37.06, 55.00, 36.47, 36.34, 55.81, 37.85, 39.49, 34.74, 34.83 
7610, Yes, 49-9098, 20.61, 19.86, 31.10, 32.25, 26.25, 14.75, 22.49, 26.99, 16.33, 20.09, 30.17, 15.23, 26.00 
7620, Yes, 49-909X, 25.88, 26.08, 35.07, 38.36, 39.98, 26.79, 31.27, 40.67, 28.79, 29.76, 36.76, 14.19, 28.28 
7700, Yes, 51-1011, 33.99, 36.21, 46.96, 48.94, 43.36, 43.10, 36.10, 45.11, 47.84, 37.22, 35.76, 20.57, 30.34 
7710, Yes, 51-2011, 17.96, 17.77, 34.74, 28.03, 23.25, 19.49, 23.38, 26.18, 25.78, 25.18, 18.29, 10.01, 19.17 
7720, Yes, 51-2020, 17.78, 17.64, 29.56, 25.48, 23.37, 11.69, 20.30, 30.96, 18.45, 23.00, 18.57, 7.43, 17.76 
7730, Yes, 51-2031, 17.85, 17.72, 33.00, 29.67, 24.76, 19.82, 23.89, 28.48, 25.93, 25.73, 18.93, 10.22, 19.54 
7740, Yes, 51-2041, 20.10, 20.01, 35.82, 29.25, 23.88, 22.97, 24.43, 25.90, 27.86, 25.80, 18.33, 11.33, 19.39 
7750, Yes, 51-2090, 18.06, 17.92, 35.25, 27.26, 23.04, 18.73, 23.05, 26.21, 25.34, 25.00, 18.34, 9.84, 19.07 
7800, Yes, 51-3011, 19.93, 20.18, 33.34, 29.82, 27.39, 10.99, 20.96, 28.61, 13.87, 18.69, 24.97, 6.52, 19.65 
7810, Yes, 51-3020, 20.50, 19.77, 32.60, 31.92, 21.47, 16.76, 21.42, 23.22, 18.82, 20.87, 17.73, 5.96, 16.17 
7830, No , 51-3091, 19.15, 18.54, 30.30, 28.88, 23.46, 20.20, 23.69, 25.07, 24.22, 24.15, 19.98, 10.24, 19.98 
7840, Yes, 51-3092, 19.28, 18.52, 29.09, 29.04, 24.85, 14.51, 21.70, 22.69, 17.76, 19.99, 25.63, 8.98, 21.49 
7850, Yes, 51-3093, 19.70, 19.27, 30.85, 29.98, 24.05, 21.56, 24.12, 25.64, 26.21, 24.99, 20.70, 9.32, 19.81 
7900, Yes, 51-4010, 46.20, 45.32, 45.50, 62.11, 60.71, 49.81, 42.97, 62.90, 56.84, 44.18, 48.50, 12.39, 28.52 
7920, Yes, 51-4021, 19.27, 18.63, 35.20, 29.15, 22.58, 21.79, 23.76, 23.82, 24.76, 24.05, 18.18, 9.14, 18.43 
7930, Yes, 51-4022, 20.81, 20.43, 35.35, 32.64, 18.87, 26.87, 23.45, 19.00, 29.00, 24.35, 25.65, 6.91, 20.67 
7940, Yes, 51-4023, 22.86, 23.78, 39.45, 36.37, 18.57, 37.82, 25.78, 18.63, 41.76, 28.59, 19.25, 13.21, 21.08 
7950, Yes, 51-4031, 17.79, 17.20, 34.34, 26.94, 17.83, 19.77, 20.86, 18.87, 24.11, 22.07, 13.70, 8.84, 15.67 
7960, Yes, 51-4032, 19.35, 18.70, 36.95, 32.00, 21.59, 17.65, 22.10, 23.51, 20.59, 22.22, 13.71, 6.85, 14.61 
8000, Yes, 51-4033, 19.50, 18.86, 22.83, 30.02, 18.69, 22.61, 22.23, 19.62, 24.60, 22.76, 17.61, 9.79, 18.73 
8010, Yes, 51-4034, 22.23, 21.82, 38.07, 34.87, 25.82, 25.30, 26.11, 25.85, 27.42, 25.78, 21.60, 13.84, 22.23 
8020, Yes, 51-4035, 21.86, 21.02, 32.03, 36.00, 29.32, 26.50, 27.82, 27.49, 29.32, 27.02, 40.13, 9.80, 27.77 
8030, Yes, 51-4041, 24.43, 24.02, 46.82, 37.98, 33.39, 32.20, 30.58, 34.29, 33.31, 30.10, 23.50, 14.67, 23.75 
8040, Yes, 51-4050, 20.53, 19.72, 39.56, 35.36, 25.34, 35.77, 28.36, 25.50, 37.92, 29.45, 23.01, 17.75, 24.47 
